OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
STARLINK-32189,2024-133S,60317,PAY,+,US,2024-07-28,AFWTR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32190,2024-133T,60318,PAY,+,US,2024-07-28,AFWTR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32182,2024-133U,60319,PAY,+,US,2024-07-28,AFWTR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32199,2024-133V,60320,PAY,+,US,2024-07-28,AFWTR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32198,2024-133W,60321,PAY,+,US,2024-07-28,AFWTR,,94.11,53.16,476,475,,,EA,ORB
USA 396,2024-134A,60322,PAY,+,US,2024-07-30,AFETR,,1443.52,0.58,35936,35928,,NEA,EA,ORB
USA 397,2024-134B,60323,PAY,+,US,2024-07-30,AFETR,,1451.93,1.28,36114,36078,,NEA,EA,ORB
USA 398,2024-134C,60324,PAY,+,US,2024-07-30,AFETR,,1454.06,1.37,36151,36124,,NEA,EA,ORB
HULIANWAN GAOGUI-02 (HG-02),2024-135A,60327,PAY,+,PRC,2024-08-01,XICLF,,1436.14,0.05,35824,35751,,,EA,ORB
STARLINK-31745,2024-136A,60329,PAY,+,US,2024-08-02,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32153,2024-136B,60330,PAY,+,US,2024-08-02,AFETR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32203,2024-136C,60331,PAY,+,US,2024-08-02,AFETR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32171,2024-136D,60332,PAY,+,US,2024-08-02,AFETR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32133,2024-136E,60333,PAY,+,US,2024-08-02,AFETR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32132,2024-136F,60334,PAY,+,US,2024-08-02,AFETR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32168,2024-136G,60335,PAY,+,US,2024-08-02,AFETR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32079,2024-136H,60336,PAY,+,US,2024-08-02,AFETR,,94.10,53.16,476,475,,,EA,ORB
STARLINK-32078,2024-136K,60338,PAY,+,US,2024-08-02,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32175,2024-136L,60339,PAY,+,US,2024-08-02,AFETR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32176,2024-136M,60340,PAY,+,US,2024-08-02,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32185,2024-136N,60341,PAY,+,US,2024-08-02,AFETR,,94.10,53.16,476,474,,,EA,ORB
STARLINK-32221,2024-136P,60342,PAY,+,US,2024-08-02,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32083,2024-136Q,60343,PAY,+,US,2024-08-02,AFETR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32077,2024-136R,60344,PAY,+,US,2024-08-02,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32075,2024-136S,60345,PAY,+,US,2024-08-02,AFETR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32082,2024-136T,60346,PAY,+,US,2024-08-02,AFETR,,94.10,53.16,476,474,,,EA,ORB
STARLINK-32084,2024-136U,60347,PAY,+,US,2024-08-02,AFETR,,94.09,53.16,477,473,,,EA,ORB
STARLINK-32081,2024-136V,60348,PAY,+,US,2024-08-02,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32181,2024-136W,60349,PAY,+,US,2024-08-02,AFETR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32076,2024-136X,60350,PAY,+,US,2024-08-02,AFETR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32097,2024-136Y,60351,PAY,+,US,2024-08-02,AFETR,,94.11,53.16,476,474,,,EA,ORB
STRIX-4,2024-137A,60352,PAY,+,JPN,2024-08-02,RLLB,,94.09,43.02,487,462,,,EA,ORB
STARLINK-32285,2024-138A,60355,PAY,+,US,2024-08-04,AFWTR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32278,2024-138B,60356,PAY,+,US,2024-08-04,AFWTR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32287,2024-138D,60358,PAY,+,US,2024-08-04,AFWTR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32290,2024-138E,60359,PAY,+,US,2024-08-04,AFWTR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32275,2024-138F,60360,PAY,+,US,2024-08-04,AFWTR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32227,2024-138G,60361,PAY,+,US,2024-08-04,AFWTR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32256,2024-138H,60362,PAY,+,US,2024-08-04,AFWTR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32267,2024-138J,60363,PAY,+,US,2024-08-04,AFWTR,,94.11,53.16,477,475,,,EA,ORB
STARLINK-32270,2024-138K,60364,PAY,+,US,2024-08-04,AFWTR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32188,2024-138L,60365,PAY,+,US,2024-08-04,AFWTR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32230,2024-138M,60366,PAY,+,US,2024-08-04,AFWTR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32243,2024-138N,60367,PAY,+,US,2024-08-04,AFWTR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32271,2024-138P,60368,PAY,+,US,2024-08-04,AFWTR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32220,2024-138R,60370,PAY,+,US,2024-08-04,AFWTR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32263,2024-138S,60371,PAY,+,US,2024-08-04,AFWTR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32268,2024-138T,60372,PAY,+,US,2024-08-04,AFWTR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32223,2024-138U,60373,PAY,+,US,2024-08-04,AFWTR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32180,2024-138V,60374,PAY,+,US,2024-08-04,AFWTR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32281,2024-138W,60375,PAY,+,US,2024-08-04,AFWTR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32277,2024-138X,60376,PAY,+,US,2024-08-04,AFWTR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32269,2024-138Y,60377,PAY,+,US,2024-08-04,AFWTR,,94.11,53.16,476,474,,,EA,ORB
QIANFAN-1,2024-140A,60379,PAY,+,PRC,2024-08-06,TAISC,,106.59,88.97,1081,1056,,,EA,ORB
QIANFAN-2,2024-140B,60380,PAY,+,PRC,2024-08-06,TAISC,,106.59,88.97,1078,1059,,,EA,ORB
QIANFAN-3,2024-140C,60381,PAY,+,PRC,2024-08-06,TAISC,,106.59,88.97,1078,1059,,,EA,ORB
QIANFAN-4,2024-140D,60382,PAY,+,PRC,2024-08-06,TAISC,,106.59,88.97,1078,1059,,,EA,ORB
QIANFAN-5,2024-140E,60383,PAY,+,PRC,2024-08-06,TAISC,,106.59,88.97,1079,1058,,,EA,ORB
QIANFAN-6,2024-140F,60384,PAY,+,PRC,2024-08-06,TAISC,,106.59,88.97,1078,1059,,,EA,ORB
QIANFAN-7,2024-140G,60385,PAY,P,PRC,2024-08-06,TAISC,,100.86,88.97,810,788,,,EA,ORB
QIANFAN-8,2024-140H,60386,PAY,+,PRC,2024-08-06,TAISC,,106.59,88.97,1080,1057,,,EA,ORB
QIANFAN-9,2024-140J,60387,PAY,+,PRC,2024-08-06,TAISC,,106.59,88.97,1080,1057,,,EA,ORB
QIANFAN-10,2024-140K,60388,PAY,+,PRC,2024-08-06,TAISC,,106.59,88.97,1080,1057,,,EA,ORB
QIANFAN-11,2024-140L,60389,PAY,+,PRC,2024-08-06,TAISC,,106.59,88.96,1079,1058,,,EA,ORB
QIANFAN-12,2024-140M,60390,PAY,+,PRC,2024-08-06,TAISC,,106.59,88.97,1078,1059,,,EA,ORB
QIANFAN-13,2024-140N,60391,PAY,+,PRC,2024-08-06,TAISC,,106.59,88.97,1078,1060,,,EA,ORB
QIANFAN-14,2024-140P,60392,PAY,+,PRC,2024-08-06,TAISC,,106.59,88.97,1080,1057,,,EA,ORB
QIANFAN-15,2024-140Q,60393,PAY,+,PRC,2024-08-06,TAISC,,106.59,88.97,1077,1060,,,EA,ORB
QIANFAN-16,2024-140R,60394,PAY,+,PRC,2024-08-06,TAISC,,106.59,88.97,1079,1058,,,EA,ORB
QIANFAN-17,2024-140S,60395,PAY,+,PRC,2024-08-06,TAISC,,106.59,88.97,1079,1058,,,EA,ORB
QIANFAN-18,2024-140T,60396,PAY,+,PRC,2024-08-06,TAISC,,106.59,88.97,1079,1058,,,EA,ORB
STARLINK-11228 [DTC],2024-141A,60398,PAY,+,US,2024-08-10,AFETR,,91.74,53.16,360,359,,,EA,ORB
STARLINK-11182 [DTC],2024-141B,60399,PAY,+,US,2024-08-10,AFETR,,91.74,53.16,360,359,,,EA,ORB
STARLINK-11234 [DTC],2024-141C,60400,PAY,+,US,2024-08-10,AFETR,,91.74,53.16,360,359,,,EA,ORB
STARLINK-11232 [DTC],2024-141D,60401,PAY,+,US,2024-08-10,AFETR,,91.74,53.16,360,358,,,EA,ORB
STARLINK-11139 [DTC],2024-141E,60402,PAY,+,US,2024-08-10,AFETR,,91.74,53.16,360,359,,,EA,ORB
STARLINK-11158 [DTC],2024-141F,60403,PAY,+,US,2024-08-10,AFETR,,91.74,53.16,360,359,,,EA,ORB
STARLINK-11199 [DTC],2024-141G,60404,PAY,+,US,2024-08-10,AFETR,,91.74,53.16,360,359,,,EA,ORB
STARLINK-11081 [DTC],2024-141H,60405,PAY,+,US,2024-08-10,AFETR,,91.74,53.16,360,359,,,EA,ORB
STARLINK-11150 [DTC],2024-141J,60406,PAY,+,US,2024-08-10,AFETR,,91.74,53.16,360,359,,,EA,ORB
STARLINK-11136 [DTC],2024-141K,60407,PAY,+,US,2024-08-10,AFETR,,91.74,53.16,361,359,,,EA,ORB
STARLINK-11196 [DTC],2024-141L,60408,PAY,+,US,2024-08-10,AFETR,,91.74,53.16,360,359,,,EA,ORB
STARLINK-11174 [DTC],2024-141M,60409,PAY,+,US,2024-08-10,AFETR,,91.74,53.16,360,359,,,EA,ORB
STARLINK-11191 [DTC],2024-141N,60410,PAY,+,US,2024-08-10,AFETR,,91.74,53.16,360,359,,,EA,ORB
STARLINK-32244,2024-141P,60411,PAY,+,US,2024-08-10,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32186,2024-141Q,60412,PAY,+,US,2024-08-10,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32178,2024-141R,60413,PAY,+,US,2024-08-10,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32234,2024-141S,60414,PAY,+,US,2024-08-10,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32265,2024-141T,60415,PAY,+,US,2024-08-10,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32197,2024-141U,60416,PAY,+,US,2024-08-10,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32255,2024-141V,60417,PAY,+,US,2024-08-10,AFETR,,94.10,53.16,477,474,,,EA,ORB
STARLINK-32236,2024-141W,60418,PAY,+,US,2024-08-10,AFETR,,94.11,53.16,476,474,,,EA,ORB
CAPELLA-13 (ACADIA-3),2024-142A,60419,PAY,+,US,2024-08-11,RLLB,,96.80,53.01,606,604,,,EA,ORB
ASBM-1,2024-143A,60422,PAY,+,NOR,2024-08-12,AFWTR,,957.29,62.81,43762,7832,,,EA,ORB
ASBM-2,2024-143B,60423,PAY,+,NOR,2024-08-12,AFWTR,,957.30,62.77,43741,7854,,,EA,ORB
STARLINK-32250,2024-144A,60425,PAY,+,US,2024-08-12,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32226,2024-144B,60426,PAY,+,US,2024-08-12,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32254,2024-144C,60427,PAY,+,US,2024-08-12,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32193,2024-144D,60428,PAY,+,US,2024-08-12,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32242,2024-144E,60429,PAY,+,US,2024-08-12,AFETR,,94.10,53.16,476,474,,,EA,ORB
STARLINK-32196,2024-144F,60430,PAY,+,US,2024-08-12,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32232,2024-144G,60431,PAY,+,US,2024-08-12,AFETR,,94.10,53.16,476,474,,,EA,ORB
STARLINK-32246,2024-144H,60432,PAY,+,US,2024-08-12,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32183,2024-144J,60433,PAY,+,US,2024-08-12,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32233,2024-144K,60434,PAY,+,US,2024-08-12,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32222,2024-144L,60435,PAY,+,US,2024-08-12,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32229,2024-144M,60436,PAY,+,US,2024-08-12,AFETR,,94.11,53.16,476,475,,,EA,ORB
STARLINK-32241,2024-144N,60437,PAY,+,US,2024-08-12,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32240,2024-144P,60438,PAY,+,US,2024-08-12,AFETR,,94.10,53.16,476,474,,,EA,ORB
STARLINK-32231,2024-144Q,60439,PAY,+,US,2024-08-12,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32195,2024-144R,60440,PAY,+,US,2024-08-12,AFETR,,94.10,53.16,476,475,,,EA,ORB
STARLINK-32177,2024-144S,60441,PAY,+,US,2024-08-12,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32252,2024-144T,60442,PAY,+,US,2024-08-12,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32237,2024-144U,60443,PAY,+,US,2024-08-12,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32249,2024-144V,60444,PAY,+,US,2024-08-12,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32228,2024-144W,60445,PAY,+,US,2024-08-12,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32247,2024-144X,60446,PAY,+,US,2024-08-12,AFETR,,94.11,53.16,476,474,,,EA,ORB
STARLINK-32101,2024-144Y,60447,PAY,+,US,2024-08-12,AFETR,,94.11,53.16,476,474,,,EA,ORB
LEGION 3,2024-146A,60452,PAY,+,US,2024-08-15,AFETR,,95.03,45.00,526,514,,,EA,ORB
LEGION 4,2024-146B,60453,PAY,+,US,2024-08-15,AFETR,,95.02,45.00,530,509,,,EA,ORB
EOS-08,2024-147A,60454,PAY,+,IND,2024-08-16,SRILR,,93.18,37.38,430,430,,,EA,ORB
YAOGAN-43 01A,2024-148A,60458,PAY,+,PRC,2024-08-16,XICLF,,93.87,35.00,466,461,,,EA,ORB
YAOGAN-43 01B,2024-148B,60459,PAY,+,PRC,2024-08-16,XICLF,,93.85,34.99,468,458,,,EA,ORB
YAOGAN-43 01C,2024-148C,60460,PAY,+,PRC,2024-08-16,XICLF,,94.55,35.00,501,493,,,EA,ORB
YAOGAN-43 01D,2024-148D,60461,PAY,+,PRC,2024-08-16,XICLF,,94.18,35.01,480,477,,,EA,ORB
YAOGAN-43 01E,2024-148E,60462,PAY,+,PRC,2024-08-16,XICLF,,94.56,34.99,501,494,,,EA,ORB
YAOGAN-43 01F,2024-148F,60463,PAY,+,PRC,2024-08-16,XICLF,,94.06,34.99,478,468,,,EA,ORB
YAOGAN-43 01G,2024-148G,60464,PAY,+,PRC,2024-08-16,XICLF,,94.18,35.00,483,474,,,EA,ORB
YAOGAN-43 01H,2024-148H,60465,PAY,+,PRC,2024-08-16,XICLF,,94.33,35.00,491,481,,,EA,ORB
YAOGAN-43 01J,2024-148J,60466,PAY,+,PRC,2024-08-16,XICLF,,93.82,34.99,466,457,,,EA,ORB
TRANSPORTER-11 OBJECT A,2024-149A,60468,PAY,+,TBD,2024-08-16,AFWTR,,94.00,97.37,474,467,,,EA,ORB
WARATAH SEED-1,2024-149B,60469,PAY,+,AUS,2024-08-16,AFWTR,,93.85,97.37,465,460,,,EA,ORB
PHISAT 2,2024-149C,60470,PAY,+,UK,2024-08-16,AFWTR,,94.11,97.38,478,473,,,EA,ORB
LEMUR-2-TOMATOKECHUP,2024-149D,60471,PAY,+,US,2024-08-16,AFWTR,,93.83,97.38,464,459,,,EA,ORB
CONNECTA IOT-1,2024-149E,60472,PAY,+,TURK,2024-08-16,AFWTR,,94.55,97.38,499,494,,,EA,ORB
LOPEN,2024-149F,60473,PAY,+,US,2024-08-16,AFWTR,,93.63,97.38,454,450,,,EA,ORB
ROCK,2024-149G,60474,PAY,+,US,2024-08-16,AFWTR,,93.63,97.38,454,450,,,EA,ORB
CONNECTA IOT-3,2024-149H,60475,PAY,+,TURK,2024-08-16,AFWTR,,94.55,97.38,500,494,,,EA,ORB
QUBE,2024-149J,60476,PAY,+,GER,2024-08-16,AFWTR,,93.25,97.38,436,431,,,EA,ORB
WREN-1,2024-149L,60478,PAY,+,HUN,2024-08-16,AFWTR,,93.56,97.38,453,445,,,EA,ORB
TOMORROW-S1,2024-149M,60479,PAY,+,US,2024-08-16,AFWTR,,94.00,97.38,473,467,,,EA,ORB
FLOCK 4BE-18,2024-149N,60480,PAY,+,US,2024-08-16,AFWTR,,93.52,97.37,450,443,,,EA,ORB
FLOCK 4BE-7,2024-149P,60481,PAY,+,US,2024-08-16,AFWTR,,93.64,97.38,456,450,,,EA,ORB
FLOCK 4BE-26,2024-149S,60484,PAY,P,US,2024-08-16,AFWTR,,92.74,97.37,412,406,,,EA,ORB
TOMORROW-S2,2024-149T,60485,PAY,+,US,2024-08-16,AFWTR,,94.00,97.38,473,467,,,EA,ORB
FLOCK 4BE-36,2024-149U,60486,PAY,+,US,2024-08-16,AFWTR,,93.46,97.38,447,441,,,EA,ORB
FLOCK 4BE-25,2024-149V,60487,PAY,+,US,2024-08-16,AFWTR,,93.68,97.38,457,452,,,EA,ORB
FLOCK 4BE-31,2024-149W,60488,PAY,+,US,2024-08-16,AFWTR,,93.40,97.38,444,438,,,EA,ORB
FLOCK 4BE-20,2024-149X,60489,PAY,+,US,2024-08-16,AFWTR,,93.73,97.37,460,453,,,EA,ORB
FLOCK 4BE-23,2024-149Y,60490,PAY,+,US,2024-08-16,AFWTR,,93.75,97.38,461,454,,,EA,ORB
FLOCK 4BE-15,2024-149Z,60491,PAY,P,US,2024-08-16,AFWTR,,93.09,97.37,430,422,,,EA,ORB
FLOCK 4BE-17,2024-149AA,60492,PAY,+,US,2024-08-16,AFWTR,,93.63,97.38,455,449,,,EA,ORB
NUSAT-50 (NANCY ROMAN),2024-149AB,60493,PAY,+,ARGN,2024-08-16,AFWTR,,94.09,97.38,478,471,,,EA,ORB
FLOCK 4BE-22,2024-149AC,60494,PAY,+,US,2024-08-16,AFWTR,,93.55,97.37,452,445,,,EA,ORB
FLOCK 4BE-34,2024-149AD,60495,PAY,+,US,2024-08-16,AFWTR,,93.55,97.38,452,445,,,EA,ORB
TYCHE,2024-149AE,60496,PAY,+,UK,2024-08-16,AFWTR,,94.37,97.38,492,485,,,EA,ORB
FLOCK 4BE-32,2024-149AF,60497,PAY,+,US,2024-08-16,AFWTR,,93.50,97.37,449,442,,,EA,ORB
NUSAT-48 (HENRIETTA LEAVITT),2024-149AG,60498,PAY,+,ARGN,2024-08-16,AFWTR,,94.12,97.39,479,472,,,EA,ORB
FLOCK 4BE-30,2024-149AH,60499,PAY,P,US,2024-08-16,AFWTR,,93.25,97.38,436,431,,,EA,ORB
NUSAT-49 (KLARA DAN VON NEUMANN),2024-149AJ,60500,PAY,+,ARGN,2024-08-16,AFWTR,,94.13,97.38,479,474,,,EA,ORB
FLOCK 4BE-11,2024-149AK,60501,PAY,+,US,2024-08-16,AFWTR,,93.45,97.37,447,440,,,EA,ORB
YAM-7,2024-149AN,60504,PAY,+,US,2024-08-16,AFWTR,,94.06,97.38,476,470,,,EA,ORB
FLOCK 4BE-24,2024-149AP,60505,PAY,+,US,2024-08-16,AFWTR,,93.46,97.37,447,440,,,EA,ORB
LUR-1,2024-149AQ,60506,PAY,+,SPN,2024-08-16,AFWTR,,94.16,97.38,481,475,,,EA,ORB
TANAGER-1,2024-149AR,60507,PAY,+,US,2024-08-16,AFWTR,,93.26,97.36,439,429,,,EA,ORB
EAGLEEYE,2024-149AS,60508,PAY,+,POL,2024-08-16,AFWTR,,92.21,97.37,385,380,,,EA,ORB
FLOCK 4BE-29,2024-149AT,60509,PAY,+,US,2024-08-16,AFWTR,,93.38,97.38,443,437,,,EA,ORB
TRANSPORTER-11 OBJECT AU,2024-149AU,60510,PAY,+,TBD,2024-08-16,AFWTR,,93.60,97.37,454,447,,,EA,ORB
FLOCK 4BE-2,2024-149AV,60511,PAY,P,US,2024-08-16,AFWTR,,93.10,97.38,430,423,,,EA,ORB
FLOCK 4BE-13,2024-149AW,60512,PAY,+,US,2024-08-16,AFWTR,,93.50,97.37,449,442,,,EA,ORB
FLOCK 4BE-27,2024-149AX,60513,PAY,P,US,2024-08-16,AFWTR,,93.91,97.38,469,463,,,EA,ORB
FLOCK 4BE-9,2024-149AY,60514,PAY,+,US,2024-08-16,AFWTR,,93.57,97.38,452,447,,,EA,ORB
FLOCK 4BE-6,2024-149BA,60516,PAY,+,US,2024-08-16,AFWTR,,93.64,97.38,456,449,,,EA,ORB
FLOCK 4BE-14,2024-149BB,60517,PAY,+,US,2024-08-16,AFWTR,,93.56,97.37,453,445,,,EA,ORB
FLOCK 4BE-1,2024-149BC,60518,PAY,+,US,2024-08-16,AFWTR,,93.48,97.38,448,441,,,EA,ORB
FLOCK 4BE-28,2024-149BD,60519,PAY,+,US,2024-08-16,AFWTR,,93.34,97.38,442,434,,,EA,ORB
IPERDRONE.0,2024-149BE,60520,PAY,+,IT,2024-08-16,AFWTR,,92.37,97.38,393,388,,,EA,ORB
TRANSPORTER-11 OBJECT BF,2024-149BF,60521,PAY,+,TBD,2024-08-16,AFWTR,,91.92,97.38,371,366,,,EA,ORB
CONNECTA IOT-2,2024-149BG,60522,PAY,+,TURK,2024-08-16,AFWTR,,94.52,97.39,500,491,,,EA,ORB
PTD-R (TYVAK-0127),2024-149BH,60523,PAY,+,US,2024-08-16,AFWTR,,91.15,97.38,334,328,,,EA,ORB
CONNECTA IOT-4,2024-149BJ,60524,PAY,+,TURK,2024-08-16,AFWTR,,93.51,97.38,451,442,,,EA,ORB
ORESAT0.5,2024-149BK,60525,PAY,+,US,2024-08-16,AFWTR,,93.34,97.37,443,434,,,EA,ORB
DEIMOS,2024-149BL,60526,PAY,+,US,2024-08-16,AFWTR,,93.39,97.38,445,436,,,EA,ORB
CUAVA-2,2024-149BM,60527,PAY,+,AUS,2024-08-16,AFWTR,,93.83,97.37,467,457,,,EA,ORB
ERNST,2024-149BN,60528,PAY,+,GER,2024-08-16,AFWTR,,93.66,97.38,458,449,,,EA,ORB
TORO,2024-149BQ,60530,PAY,+,ROC,2024-08-16,AFWTR,,96.24,97.68,580,578,,,EA,ORB
HYPSO-2,2024-149BR,60531,PAY,+,NOR,2024-08-16,AFWTR,,96.10,97.69,573,570,,,EA,ORB
LEMU NGE,2024-149BS,60532,PAY,+,CHLE,2024-08-16,AFWTR,,96.34,97.69,584,583,,,EA,ORB
LEMUR-2-STELLA,2024-149BT,60533,PAY,+,US,2024-08-16,AFWTR,,95.34,97.67,536,534,,,EA,ORB
SATELIOT_2,2024-149BU,60534,PAY,+,SPN,2024-08-16,AFWTR,,96.25,97.68,580,578,,,EA,ORB
NIGHTJAR,2024-149BV,60535,PAY,+,ROC,2024-08-16,AFWTR,,96.09,97.69,572,570,,,EA,ORB
LEMUR-2-MARHISYAM,2024-149BW,60536,PAY,+,US,2024-08-16,AFWTR,,95.37,97.69,537,535,,,EA,ORB
SATELIOT_4,2024-149BX,60537,PAY,+,SPN,2024-08-16,AFWTR,,96.23,97.68,579,577,,,EA,ORB
PICO-02A021,2024-149BY,60538,PAY,+,IT,2024-08-16,AFWTR,,95.83,97.67,562,556,,,EA,ORB
ICEYE-X43,2024-149BZ,60539,PAY,+,BRAZ,2024-08-16,AFWTR,,96.02,97.68,569,567,,,EA,ORB
HAWK-10A,2024-149CA,60540,PAY,+,US,2024-08-16,AFWTR,,96.24,97.69,580,577,,,EA,ORB
UMBRA-09,2024-149CB,60541,PAY,+,US,2024-08-16,AFWTR,,94.98,97.70,519,516,,,EA,ORB
QPS-SAR-8 (AMATERU-IV),2024-149CC,60542,PAY,+,JPN,2024-08-16,AFWTR,,95.78,97.67,558,554,,,EA,ORB
ARCTIC WEATHER SATELLITE,2024-149CD,60543,PAY,+,NOR,2024-08-16,AFWTR,,96.66,97.68,600,598,,,EA,ORB
CAPELLA-15 (ACADIA-5),2024-149CE,60544,PAY,+,US,2024-08-16,AFWTR,,96.49,97.68,592,589,,,EA,ORB
HAWK-10B,2024-149CF,60545,PAY,+,US,2024-08-16,AFWTR,,96.24,97.68,581,575,,,EA,ORB
ICEYE-X39,2024-149CG,60546,PAY,+,BRAZ,2024-08-16,AFWTR,,96.03,97.68,569,568,,,EA,ORB
UMBRA-10,2024-149CH,60547,PAY,+,US,2024-08-16,AFWTR,,94.98,97.70,519,516,,,EA,ORB
ICEYE-X33,2024-149CJ,60548,PAY,+,US,2024-08-16,AFWTR,,95.91,97.70,565,560,,,EA,ORB
ICEYE-X40,2024-149CK,60549,PAY,+,UAE,2024-08-16,AFWTR,,96.15,97.68,576,572,,,EA,ORB
SATELIOT_1,2024-149CL,60550,PAY,+,SPN,2024-08-16,AFWTR,,96.14,97.68,577,570,,,EA,ORB
BRO-14,2024-149CM,60551,PAY,+,FR,2024-08-16,AFWTR,,96.25,97.69,583,575,,,EA,ORB
SATELIOT_3,2024-149CN,60552,PAY,+,SPN,2024-08-16,AFWTR,,96.14,97.68,576,571,,,EA,ORB
BRO-15,2024-149CP,60553,PAY,+,FR,2024-08-16,AFWTR,,96.26,97.68,584,575,,,EA,ORB
UM5-RIBAT,2024-149CQ,60554,PAY,+,MA,2024-08-16,AFWTR,,95.95,97.67,565,564,,,EA,ORB
UM5-EOSAT,2024-149CR,60555,PAY,+,MA,2024-08-16,AFWTR,,95.93,97.67,567,560,,,EA,ORB
KANYINI,2024-149CS,60556,PAY,+,AUS,2024-08-16,AFWTR,,93.00,97.37,423,419,,,EA,ORB
TROOP-F2,2024-149CT,60557,PAY,+,US,2024-08-16,AFWTR,,90.83,97.34,317,313,,,EA,ORB
FLOCK 4BE-35,2024-149CU,60558,PAY,P,US,2024-08-16,AFWTR,,92.80,97.37,415,408,,,EA,ORB
FLOCK 4BE-5,2024-149CV,60559,PAY,+,US,2024-08-16,AFWTR,,93.60,97.38,454,448,,,EA,ORB
FLOCK 4BE-12,2024-149CW,60560,PAY,P,US,2024-08-16,AFWTR,,92.51,97.37,402,393,,,EA,ORB
FLOCK 4BE-3,2024-149CX,60561,PAY,+,US,2024-08-16,AFWTR,,93.53,97.37,451,443,,,EA,ORB
HYPERFIELD-1A,2024-149CY,60562,PAY,+,FIN,2024-08-16,AFWTR,,94.10,97.38,479,471,,,EA,ORB
FLOCK 4BE-19,2024-149CZ,60563,PAY,+,US,2024-08-16,AFWTR,,93.39,97.37,444,437,,,EA,ORB
