satellite,norad_id,inclination,eccentricity,mean_motion,right ascension,perigee,mean anomaly
INTELSAT 904 (IS-904),27380.0,6.7365,0.0007509,1.00273023,70.0593,326.3781,204.5411
AQUA,27424.0,98.4218,0.0001395,14.62040526272462,62.05,115.5772,301.1356
DIRECTV 5 (TEMPO 1),27426.0,4.6893,0.0003782,1.00272799,76.2183,309.0319,86.9757
INTELSAT 905 (IS-905),27438.0,6.5662,0.0003267,1.00273159,70.6915,315.6989,56.4288
GALAXY 3C (G-3C),27445.0,3.5396,0.0001585,1.00271706,78.9965,20.051,29.5147
COSMOS 2390,27464.0,82.4873,0.0026646,12.44620848,31.1805,60.734,299.64
COSMOS 2391,27465.0,82.4876,0.0027469,12.44943612,27.7218,55.0181,305.3473
INTELSAT 906 (IS-906),27513.0,5.6153,0.0003336,1.00272042,73.8182,309.3798,249.9777
LATINSAT B,27606.0,64.5527,0.0086391,14.76921592251185,117.1484,284.3952,74.7574
SAUDISAT 1C (SO-50),27607.0,64.5554,0.0075469,14.82885960253488,357.9396,275.9713,83.2796
LATINSAT A,27612.0,64.5547,0.0055994,14.85339732256562,192.928,259.1756,100.3046
NIMIQ 2,27632.0,9.2765,0.0006605,1.00272644,57.6623,318.0513,146.8571
CORIOLIS,27640.0,98.7157,0.0015085,14.19923337203698,102.0082,68.5844,291.694
SORCE,27651.0,39.9919,0.0018421,15.03306301260736,324.7458,242.1037,117.7892
NAVSTAR 51 (USA 166),27663.0,54.8996,0.0148489,2.00564702169793,217.9811,52.8797,318.1338
USA 167,27691.0,10.8151,0.0005561,1.00270111,44.0669,302.0205,241.7265
NAVSTAR 52 (USA 168),27704.0,54.8568,0.0004235,1.94743171168458,327.9854,351.8609,183.7826
USA 169 (MILSTAR-2 4),27711.0,12.2384,0.0101768,1.00272548,30.438,5.2088,193.4227
ASIASAT 4,27718.0,4.516,0.0002633,1.00272893,76.6575,299.8352,48.5232
HELLAS-SAT 2,27811.0,7.1716,0.0005846,1.00272733,68.7554,270.5305,265.9118
THURAYA-2,27825.0,8.7274,0.000355,1.00272371,32.2683,328.7738,224.799
OPTUS C1,27831.0,6.7058,0.0006324,1.00273181,70.2923,305.1284,57.2842
MOST,27843.0,98.7077,0.0010955,14.21306755180174,102.7667,105.1822,255.0568
CUTE-1 (CO-55),27844.0,98.677,0.0010387,14.24288225181048,102.9944,47.9217,312.2844
CUBESAT XI-IV (CO-57),27848.0,98.6802,0.0010511,14.23580366180818,103.2044,63.1709,297.0543
SCISAT 1,27858.0,73.9303,0.0006402,14.81362357220475,318.5863,31.6154,328.5405
COSMOS 2400,27868.0,82.477,0.0020572,12.45188023,16.1747,215.4594,144.5121
COSMOS 2401,27869.0,82.4765,0.0021382,12.45501042,12.5989,210.779,149.2039
USA 170,27875.0,10.3449,0.000221,1.00273594,48.6368,9.9017,190.3767
MOZHAETS 4 (RS22),27939.0,98.3454,0.0012104,14.73328780204664,276.5553,138.8169,34.0969
LARETS,27944.0,98.4064,0.0011028,14.63855529202543,254.9113,266.7442,93.2498
GALAXY 13 (HORIZONS-1),27954.0,1.227,0.0002184,1.00274974,84.7823,294.2182,24.7524
IRS-P6 (RESOURCESAT-1),28051.0,98.1992,0.00636,14.36133836169923,134.4121,202.9232,220.0421
DMSP 5D-3 F16 (USA 172),28054.0,98.9961,0.0007033,14.14472452159038,117.5625,6.0333,56.9765
CHUANGXIN 1 (CX-1),28058.0,98.5151,0.0013443,14.48547566185572,352.7719,50.7352,309.5031
YAMAL 202,28089.0,6.1572,0.0004619,1.00273043,71.8251,268.5656,98.6643
UFO 11 (USA 174),28117.0,8.8963,0.0003029,1.00272211,34.1846,320.9375,238.6757
NAVSTAR 53 (USA 175),28129.0,54.9845,0.0003027,1.92678599163021,26.0393,320.6602,39.3087
USA 176 (DSP 22),28158.0,11.9625,0.0002185,1.00431165,26.6172,302.4792,280.3399
ABS-4 (MOBISAT-1),28184.0,5.855,0.0005426,1.00273491,72.8944,303.9471,252.9341
EUTELSAT 139 WEST A,28187.0,5.6289,0.000357,1.00833594,72.937,25.0284,145.9143
NAVSTAR 54 (USA 177),28190.0,54.8926,0.0112444,2.00557195161446,278.7093,169.9755,4.1137
SHIYAN-1 (SY-1),28220.0,97.8725,0.0004493,15.31888702199751,167.5171,279.6869,80.3863
AMC-11,28252.0,0.1197,0.0003297,1.00273013,80.1669,303.0493,139.4139
INTELSAT 10-02,28358.0,0.0414,0.0002045,1.00273868,40.9899,32.9911,180.8739
NAVSTAR 55 (USA 178),28361.0,54.8127,0.0160264,2.00553422159536,89.7326,299.61,58.0133
APRIZESAT 2,28366.0,98.0946,0.0106785,14.38007598140891,263.6557,115.5722,245.655
SAUDICOMSAT 1,28369.0,98.5804,0.0031002,14.55417563153324,102.0265,250.3883,109.3966
SAUDICOMSAT 2,28370.0,98.6678,0.0056547,14.49932132149354,104.1518,123.555,237.1061
SAUDISAT 2,28371.0,98.551,0.0025069,14.56638145154931,91.9796,162.2751,197.9327
APRIZESAT 1,28372.0,98.6338,0.004502,14.51737369151147,102.6925,22.2903,338.0235
AURA,28376.0,98.3354,0.0001427,14.61212298155416,50.116,94.5482,265.5881
ANIK F2,28378.0,3.0946,0.0004031,1.00271728,80.4088,321.2544,120.9496
COSMOS 2407,28380.0,82.9584,0.0040704,13.76328189,129.6329,99.1012,327.9048
SHIJIAN-6 01A (SJ-6 01A),28413.0,97.5932,0.0007292,15.16946551176229,120.9894,45.9962,314.1871
SHIJIAN-6 01B (SJ-6 01B),28414.0,97.6112,0.0006101,15.05821726175703,113.1277,50.7355,309.4413
COSMOS 2408,28419.0,82.4911,0.001711,12.45677219978703,12.1636,70.6594,289.6336
COSMOS 2409,28420.0,82.4911,0.0014728,12.45321487978357,15.345,80.9439,279.3308
AMC-15,28446.0,0.0505,0.0002235,1.00272345,49.4881,324.6186,155.0137
JB-3 3 (ZY 2C),28470.0,97.2667,0.0035112,15.18807733176547,250.5181,119.0,241.4762
NAVSTAR 56 (USA 180),28474.0,55.1778,0.0170365,2.00575016156938,327.8951,313.9861,224.1146
SWIFT,28485.0,20.5545,0.0002943,15.61795317175244,33.3576,354.8348,5.2067
NANOSAT-1,28493.0,98.215,0.0004499,14.80006079144514,229.1874,155.0977,205.0452
COSMOS 2414,28521.0,82.9452,0.0040111,13.87918539,99.6612,178.4573,181.6721
NSS-10,28526.0,6.2653,0.0003246,1.00272043,71.3359,300.3369,223.3295
INMARSAT 4-F1,28628.0,5.0691,0.0003694,1.00272228,42.7079,353.4218,36.1234
IRS-P5 (CARTOSAT-1),28649.0,97.5373,9.81e-05,14.90859918132775,120.4662,52.6049,307.5259
DIRECTV 8,28659.0,0.0215,0.0003378,1.00272057,114.1398,273.4781,126.496
GALAXY 28 (G-28),28702.0,3.1082,0.0002274,1.00270718,79.8326,300.2351,223.2857
SJ-7,28737.0,97.7361,0.0014399,15.20466489136764,122.2239,291.3413,68.6284
THAICOM 4,28786.0,0.0595,0.0002311,1.00283073,81.2728,316.8236,294.413
REIMEI (INDEX),28810.0,98.0038,0.0019775,15.10201869119833,214.8879,6.508,353.6401
ANIK F1R,28868.0,4.1236,0.0003211,1.00271996,77.4851,312.1938,85.5289
NAVSTAR 57 (USA 183),28874.0,54.9397,0.0128091,2.00570956150346,276.177,295.6947,243.8966
SYRACUSE 3A,28885.0,4.4552,0.000371,1.0027278,76.736,296.8084,312.8705
BEIJING 1,28890.0,98.2782,0.0015206,14.63486037,227.1624,148.6312,211.58
SINAH 1,28893.0,98.2734,0.001527,14.64104532,228.1826,144.2167,216.0061
CUBESAT XI-V,28895.0,98.2882,0.0015323,14.72431745,248.038,82.7657,277.5291
INMARSAT 4-F2,28899.0,4.999,0.0003358,1.00271646,43.7841,350.2275,32.208
COSMOS 2416 (RODNIK-S 1),28908.0,82.4738,0.0007987,12.55597944929628,354.9382,342.2115,137.9528
METEOSAT-9 (MSG-2),28912.0,9.1959,5.94e-05,1.00273367,54.8826,40.9643,131.8166
EUTELSAT 174A,28924.0,4.0324,0.0006524,1.00274704,77.4236,300.7677,64.2054
ECHOSTAR 10,28935.0,0.0474,0.00014,1.00272583,45.4008,323.4013,154.7867
SPAINSAT,28945.0,0.3703,0.0004786,1.00272139,87.8208,299.505,332.69
JCSAT-5A,29045.0,0.9177,0.0001964,1.00273639,85.0585,331.3559,0.3724
ASTRA 1KR,29055.0,0.2831,0.0003597,1.00270424,82.1372,288.3113,270.9694
RESURS-DK 1,29228.0,69.9333,0.0001949,15.12909449,170.8865,35.2722,324.8572
GALAXY 16 (G-16),29236.0,0.0179,0.0002835,1.00272619,209.7815,170.4988,139.874
ARIRANG-2 (KOMPSAT-2),29268.0,97.8304,0.0013392,14.6461262,282.3342,312.2372,171.8944
EUTELSAT 33F,29270.0,1.4706,0.0003582,1.00270806,83.0468,291.9865,278.47
JCSAT-3A,29272.0,0.0156,0.0002773,1.00268972,220.8543,183.1766,8.7062
SYRACUSE 3B,29273.0,2.7135,0.000482,0.98627573,81.0659,278.2886,113.7307
KOREASAT 5 (MUGUNGWHA 5),29349.0,1.5935,0.0001707,1.00272739,83.8912,318.4261,257.5611
HINODE (SOLAR-B),29479.0,98.0603,0.0018014,14.68518958,111.2899,159.1078,201.0867
NAVSTAR 58 (USA 190),29486.0,54.6997,0.0106286,2.00573948142915,154.2762,53.1959,318.7314
DIRECTV 9S,29494.0,2.2303,0.0003812,1.00272053,81.7758,309.1608,159.0438
OPTUS D1,29495.0,2.8446,0.0004042,1.00271554,80.5477,298.5467,46.0959
SHIJIAN-6 02A (SJ-6 02A),29505.0,97.6441,0.0004183,15.16114093,134.786,55.5517,304.611
SHIJIAN-6 02B (SJ-6 02B),29506.0,97.71,0.0012223,15.01133141,123.7678,320.3285,39.7044
DMSP 5D-3 F17 (USA 191),29522.0,98.7409,0.0008898,14.14976207,102.2829,267.1742,92.8414
BADR-4,29526.0,1.8143,0.0006991,1.00273679,81.898,285.4348,281.3283
NAVSTAR 59 (USA 192),29601.0,54.9497,0.0087104,2.00553741141917,216.9603,89.906,271.0674
WILDBLUE-1,29643.0,2.6126,0.0001708,1.00272097,81.3989,293.0222,148.1121
LAPAN-TUBSAT,29709.0,98.1343,0.0013586,14.85871229,91.8126,68.4436,291.8225
THEMIS A,30580.0,7.2511,0.8391194,0.87845562,116.588,184.3008,154.1077
SKYNET 5A,30794.0,5.1128,0.000397,1.00271516,74.6254,309.7461,256.3864
THEMIS D,30797.0,6.9654,0.8346083,0.87834882,83.4365,220.152,107.1436
THEMIS E,30798.0,4.9232,0.8394075,0.88160265,100.2542,204.4636,264.5971
ANIK F3,31102.0,1.005,0.0002888,1.00273651,84.7089,297.9476,279.5351
HAIYANG-1B,31113.0,98.3461,0.0014658,14.31008237990057,78.9691,62.9372,297.3306
SAUDISAT 3,31118.0,98.139,0.0015961,14.71378505,44.6555,101.5584,258.7415
SAUDICOMSAT 7,31119.0,98.3722,0.0057032,14.66017745,66.4975,69.8531,290.8794
SAUDICOMSAT 6,31121.0,98.4033,0.0071416,14.62470272,60.0296,197.2869,162.5899
SAUDICOMSAT 5,31124.0,98.3433,0.0047549,14.68062026,67.0591,1.7917,358.3449
SAUDICOMSAT 3,31125.0,98.309,0.0037921,14.70593179,67.8462,287.6943,72.0124
SAUDICOMSAT 4,31127.0,98.3924,0.0064431,14.64418069,64.9754,129.7807,230.9093
ASTRA 1L,31306.0,1.1308,0.0004366,1.00272871,82.0893,310.2435,213.5892
GALAXY 17 (G-17),31307.0,2.7853,0.0004055,1.00271754,80.8115,307.0162,162.7732
YAOGAN-2,31490.0,98.2748,0.0021172,14.82564039,312.2994,149.5446,210.7001
GLOBALSTAR M069,31573.0,52.0014,0.0001744,12.23470168869749,101.5996,358.1544,79.9312
GLOBALSTAR M072,31574.0,51.9939,0.0001611,11.91656924866137,297.734,137.3834,17.3677
COSMO-SKYMED 1,31598.0,97.8869,0.0001576,14.96737166,285.5122,99.6691,260.4708
TERRASAR-X,31698.0,97.4463,0.0001777,15.1914783,102.2666,89.0231,271.1207
COSMOS 2428,31792.0,70.9423,0.0009698,14.12949003967709,149.7324,250.546,109.4613
WORLDVIEW-1 (WV-1),32060.0,97.3852,0.000153,15.24062439,215.0339,345.0717,15.0475
INTELSAT 11 (IS-11),32253.0,3.3728,0.0002858,0.99048005,79.553,221.4154,1.8985
WGS F1 (USA 195),32258.0,0.0756,4.15e-05,1.00271708,83.0235,293.117,215.8177
NAVSTAR 60 (USA 196),32260.0,54.0407,0.0164079,2.00559174135322,83.1242,86.2343,275.6386
GLOBALSTAR M066,32265.0,51.9581,0.0004068,12.30387943851084,271.0841,239.5892,286.2646
COSMOS 2433 [GLONASS-M],32275.0,65.6193,9.34e-05,2.13103725143391,318.5652,250.3488,109.6996
COSMOS 2432 [GLONASS-M],32276.0,65.634,0.0009735,2.13103190143483,318.5873,335.9075,179.0883
YAOGAN-3,32289.0,97.8226,0.0001286,14.90500792994859,124.8851,87.615,272.5215
SKYNET 5B,32294.0,5.0647,0.0003928,1.00272553,74.3678,296.8304,276.3039
ASTRA 4A,32299.0,0.0506,0.0002652,1.00270767,56.2673,326.3912,238.4181
COSMO-SKYMED 2,32376.0,97.888,0.0001282,14.82160058991056,278.9712,88.9847,271.1514
RADARSAT-2,32382.0,98.5806,0.0001256,14.29981734955399,102.2693,83.7295,276.4031
NAVSTAR 61 (USA 199),32384.0,55.0918,0.0033881,2.00555539134022,277.1328,161.3217,14.6689
HORIZONS-2,32388.0,2.4117,0.0002841,1.00270867,81.5248,304.7122,176.3776
COSMOS 2434 [GLONASS-M],32393.0,64.3164,0.0002255,2.1310137414218,194.435,60.204,307.5513
COSMOS 2436 [GLONASS-M],32395.0,64.325,0.0017276,2.13100212142112,194.5407,3.0009,67.4276
THURAYA-3,32404.0,5.8656,0.0002413,1.00273778,35.6674,336.6586,220.4569
THOR 5,32487.0,0.0196,0.0002529,1.00271294,234.7485,143.5142,236.88
AMC-14,32708.0,23.9019,0.0051287,1.00333958,21.4145,23.8202,156.9389
NAVSTAR 62 (USA 201),32711.0,54.4847,0.0208647,2.00570318132257,152.9152,246.7161,111.1539
DIRECTV 11,32729.0,0.0432,3.19e-05,1.00272226,33.64,313.9766,155.5541
ICO G1,32763.0,5.515,0.0002485,1.0027329,36.2917,319.3841,190.1213
VINASAT-1,32767.0,0.0125,0.0002621,1.00270224,222.5319,190.1589,3.9918
STAR ONE C2,32768.0,1.0521,0.0003064,1.00271164,83.0796,304.4086,184.5565
CARTOSAT-2A,32783.0,97.7719,0.0011749,14.79151589967883,145.5171,359.4024,0.7172
CUTE-1.7+APD II (CO-65),32785.0,97.8239,0.0007116,15.08746428974048,74.1938,283.332,76.7114
CANX-2,32790.0,97.8581,0.0008937,15.05076579973633,72.2955,300.2164,59.8176
SEEDS II (CO-66),32791.0,97.7528,0.0002917,15.30245025975977,88.7558,161.1611,198.9737
AMOS-3,32794.0,0.2645,5.17e-05,1.0027386,87.1665,200.306,324.063
GALAXY 18 (G-18),32951.0,0.017,0.0003076,1.00272722,215.9186,158.852,135.1113
YUBILEINY (RS30),32953.0,82.5054,0.0020393,12.43177021810516,41.3896,110.5957,249.7313
COSMOS 2437,32954.0,82.5033,0.0021268,12.42757270810191,43.3743,127.9781,26.0544
COSMOS 2438,32955.0,82.5044,0.0022281,12.43367424810649,38.8357,104.3547,256.0009
COSMOS 2439,32956.0,82.5083,0.0021796,12.43068238810539,43.7249,114.2859,246.0501
FENGYUN 3A,32958.0,98.6833,0.0008496,14.19554703924918,36.4895,348.5738,11.5245
ZHONGXING-9,33051.0,0.5799,0.0007576,1.00271858,86.2843,265.1085,335.5962
FGRST (GLAST),33053.0,25.584,0.0008208,15.23541010984525,358.7641,169.4642,190.6069
SKYNET 5C,33055.0,3.6,0.0003873,1.00272651,77.9005,294.2211,240.4993
TURKSAT 3A,33056.0,0.0518,0.0005016,1.00269846,71.4125,326.0525,262.9437
INTELSAT 25 (IS-25),33153.0,2.5167,0.000298,1.00271339,81.1965,251.5433,223.7214
ECHOSTAR 11,33207.0,0.8131,0.0002697,1.00273442,84.9659,268.3952,67.7105
