satellite,norad_id,inclination,eccentricity,mean_motion,right ascension,perigee,mean anomaly,orbital_period_minutes,orbit_type
KUIPER-00082,64828.0,51.8999,8.32e-05,14.79939881,175.1522,102.696,257.4095,97.30124976610452,LEO
KUIPER-00083,64829.0,51.8994,5.45e-05,14.80013366,182.6779,90.2027,269.8998,97.29641860545198,LEO
KUIPER-00084,64830.0,51.9007,5.35e-05,14.79959283,192.4125,80.5186,279.5837,97.29997416422165,LEO
KUIPER-00085,64831.0,51.9035,6.61e-05,14.79938563,175.0382,96.913,263.1908,97.30133642040923,LEO
KUIPER-00086,64832.0,51.9015,6.88e-05,14.79932483,187.7382,83.3545,276.7496,97.30173616305441,LEO
KUIPER-00087,64833.0,51.8976,0.0001371,14.79949079,167.7422,95.0953,265.0166,97.30064503117949,LEO
KUIPER-00089,64834.0,51.9008,5.2e-05,14.79946147,175.7656,77.0816,283.0205,97.3008377986608,LEO
KUIPER-00090,64835.0,51.8975,7.07e-05,14.79947205,165.2702,77.0847,283.0194,97.30076823922919,LEO
KUIPER-00091,64836.0,51.9015,6.75e-05,14.79939704,170.2775,72.8696,287.234,97.30126140328214,LEO
KUIPER-00092,64837.0,51.9027,8.64e-05,14.79942637,177.8103,98.6049,261.5011,97.30106856837587,LEO
KUIPER-00093,64838.0,51.899,7.42e-05,14.79940808,180.0019,96.9698,263.1349,97.30118881889769,LEO
KUIPER-00094,64839.0,51.888,0.0006854,15.04690551,144.7215,25.612,334.5191,95.70074053053584,LEO
LEMUR-2-HUBBLE-5,64840.0,97.7625,0.0004769,14.93907663,209.6512,210.6667,149.4275,96.39149966660288,LEO
LEMUR-2-KARENDARRELL,64841.0,97.7608,0.0008562,14.9903606,210.6567,115.674,244.5368,96.06173183052047,LEO
STARLINK-34723,64842.0,97.6023,0.0002362,15.0565302,310.5301,90.9208,269.229,95.63956508385976,LEO
STARLINK-34725,64843.0,97.6027,0.0002377,15.056541,310.6231,86.2247,273.9251,95.6394964819609,LEO
STARLINK-34709,64844.0,97.6029,0.0002474,15.05656201,310.5493,82.6742,277.4766,95.63936302614145,LEO
STARLINK-34706,64845.0,97.6047,0.000259,15.05650209,310.5333,79.2827,280.8691,95.63974363981906,LEO
STARLINK-34736,64846.0,97.6013,0.0001481,15.0565687,310.6401,73.9503,286.1887,95.63932053124428,LEO
STARLINK-34746,64847.0,97.6023,0.0002952,15.05649289,310.6427,86.6474,273.509,95.63980207876949,LEO
STARLINK-34748,64848.0,97.6018,0.0001967,15.05673526,310.6585,76.4462,283.6984,95.63826255387053,LEO
STARLINK-34756,64849.0,97.6015,0.0002239,15.05648838,310.7236,79.3166,280.8313,95.6398307265854,LEO
STARLINK-34757,64850.0,97.6033,0.0002394,15.05647849,310.6235,70.7881,289.3605,95.63989354857439,LEO
STARLINK-34722,64851.0,97.6023,0.0002751,15.05658911,310.5458,80.4617,279.6921,95.63919088710523,LEO
STARLINK-34564,64852.0,97.603,0.0002458,15.05646113,310.7016,84.1698,275.9808,95.64000382073844,LEO
STARLINK-34676,64853.0,97.6022,0.0002336,15.056612,310.5419,91.9716,268.1779,95.63904549044632,LEO
STARLINK-34682,64854.0,97.6025,0.0002436,15.05651314,310.6733,87.1172,273.0333,95.63967344965236,LEO
STARLINK-34631,64855.0,97.6019,0.0002843,15.05659751,310.6311,85.1988,274.9563,95.63913753048182,LEO
STARLINK-34578,64856.0,97.6033,7.83e-05,15.0565148,310.6842,102.4076,257.7238,95.63966290525613,LEO
STARLINK-34683,64857.0,97.6018,0.0002042,15.05667506,310.6511,88.6187,271.5274,95.6386449373239,LEO
STARLINK-34654,64858.0,97.6023,0.000194,15.05651899,310.666,90.1639,269.9811,95.63963629019405,LEO
STARLINK-34575,64859.0,97.6025,0.0002008,15.05640033,310.6807,87.3043,272.8414,95.64039002940086,LEO
STARLINK-34570,64860.0,97.6024,0.0002216,15.05644135,310.6799,77.7637,282.3838,95.64012946525375,LEO
STARLINK-34651,64861.0,97.6025,0.0001811,15.01264897,310.6682,121.1959,238.9444,95.91911479963152,LEO
STARLINK-34684,64862.0,97.6015,0.0002391,15.05654426,310.6636,93.0414,267.1086,95.63947577437001,LEO
STARLINK-34690,64863.0,97.6032,0.0002569,15.05664996,310.6739,96.3107,263.8413,95.63880437053078,LEO
STARLINK-34628,64864.0,97.6014,0.0002055,15.05654063,310.6546,84.7712,275.375,95.6394988322095,LEO
STARLINK-34544,64865.0,97.6022,0.0002757,15.05674477,310.6617,95.9304,264.2237,95.63820214772758,LEO
O3B MPOWER F9,64866.0,0.051,0.0005159,5.00116246,14.9199,24.4528,320.6631,287.9330578675103,MEO
O3B MPOWER F10,64867.0,0.0516,0.0003614,5.00115051,9.6909,256.6776,93.5886,287.933745869208,MEO
LIDE,64869.0,97.6774,0.0007182,14.93918382,159.6984,115.5276,244.6687,96.39080804884293,LEO
TRACERS 1,64870.0,97.6749,0.0006653,14.93260799,159.5728,133.7053,226.4719,96.43325539412356,LEO
ATHENA EPIC,64871.0,97.673,0.0008081,14.93864711,159.7365,126.0816,234.1154,96.3942711409293,LEO
SKYCRAFT-4B,64872.0,97.6714,0.0006267,14.96745363,160.326,137.2311,222.9399,96.20874970434099,LEO
TRACERS 2,64873.0,97.6749,0.000412,14.93265426,159.5821,161.5424,198.5946,96.432956588121,LEO
PEXT (BARD),64874.0,97.4019,0.0003338,15.19988588,160.5921,153.6859,206.4546,94.73755338484159,LEO
REAL,64875.0,97.4084,0.0001653,15.29715208,162.6164,109.8771,250.2647,94.13516924386882,LEO
IONOSFERA-M 3,64876.0,98.5968,0.0002486,14.21473125,58.0604,78.9368,281.2089,101.30335738848386,LEO
IONOSFERA-M 4,64877.0,98.5962,0.0001838,14.2147504,58.0125,76.415,283.7233,101.30322091339711,LEO
INNOSAT 16 (RS92S7),64878.0,97.4509,0.0012653,15.24603274,61.6925,87.3337,272.9349,94.45080071368126,LEO
GEOSCAN 6 (RS92S6),64879.0,97.4507,0.0010154,15.28689037,62.6265,82.7043,277.5351,94.19835984602537,LEO
GEOSCAN 1 (RS92S1),64880.0,97.4503,0.0010111,15.29160919,62.6798,83.1417,277.0973,94.1692912830713,LEO
239ALFEROV (RS61S),64881.0,97.4507,0.0009816,15.30893553,63.0167,82.963,277.2727,94.06271240597485,LEO
2025-155G,64882.0,97.4529,0.0009579,15.28222078,62.6575,83.0976,277.1353,94.22714281713185,LEO
