satellite,line1,line2,norad_id,inclination,eccentricity,mean_motion,right_ascension,perigee,mean_anomaly,orbital_period_minutes,orbit_type,latitude,longitude,altitude_km,x,y,z
STARLINK-33870,1 63794U 25091V   26097.44736721  .00023470  00000+0  85821-3 0  9996,2 63794  42.9991 249.8274 0001105 263.7354  96.3372 15.27635946 53307,63794,0.7504758703942938,0.0001105,0.0666556925737957,4.360310691696882,4.603051084064253,1.6814013321522812,94.2632964202324,LEO,-29.29950587496657,-149.37090471056902,492.1242357495694,-5150.1212461330315,-3049.304249034752,-3358.6409486994685
STARLINK-33867,1 63795U 25091W   26097.48208407  .00023080  00000+0  84533-3 0  9992,2 63795  43.0036 250.0917 0002467 288.6969  71.3615 15.27589775 53309,63795,0.7505544102106335,0.0002467,0.0666536779838734,4.364923596909903,5.038711445300818,1.2454931341619335,94.26614550362515,LEO,34.88032751907637,19.70299965953094,486.2149365732239,5295.959146727266,1896.5407190137964,3921.3960146459794
STARLINK-33918,1 63796U 25091X   26097.48337041  .00028040  00000+0  10234-2 0  9997,2 63796  43.0020 250.1020 0001685 253.7671 106.2996 15.27617704 53352,63796,0.7505264849426017,0.0001685,0.0666548966163903,4.365103365822858,4.429071428237703,1.8552780135529643,94.264422062498,LEO,37.81357680590074,11.753959778289655,484.88843165090566,5302.648200583019,1103.334744721715,4203.305923816188
STARLINK-33712,1 63797U 25091Y   26097.47775081  .00013533  00000+0  50017-3 0  9992,2 63797  42.9997 253.5837 0001251 279.9437  80.1273 15.27595759 53269,63797,0.7504863423698057,0.0001251,0.0666539390851295,4.425870494389544,4.885939285215249,1.3984852057332524,94.2657762379923,LEO,21.866750783231012,46.075591880039866,487.2666617629093,4415.339354531078,4584.306125760528,2554.3565400100565
STARLINK-33827,1 63798U 25091Z   26097.47180082  .00024010  00000+0  87884-3 0  9998,2 63798  43.0027 250.0149 0001295 260.6083  99.4622 15.27592552 53300,63798,0.7505387022473655,0.0001295,0.0666537991533567,4.363583184044371,4.548472893025138,1.735942871277104,94.26597413784722,LEO,0.2342375077160077,67.73222173827958,489.7389005048053,2599.7577507583064,6349.032304391773,28.04810263954457
STARLINK-33899,1 63799U 25091AA  26096.74484479  .00035060  00000+0  12760-2 0  9992,2 63799  43.0039 254.0166 0002274 287.1655  72.8947 15.27617773 53302,63799,0.7505596461983896,0.0002274,0.0666548996270833,4.433426024721428,5.011983473135777,1.2722525222535106,94.26441780472796,LEO,-27.326811766590932,101.5497261515037,491.8924792618691,-1220.733286051028,5973.554394211646,-3150.516041163878
STARLINK-33900,1 63800U 25091AB  26097.13329762  .00016632  00000+0  61204-3 0  9994,2 63800  43.0023 251.7682 0000519 276.6117  83.4676 15.27607025 53363,63800,0.7505317209303576,5.19e-05,0.0666544306571133,4.394184041819588,4.827784914538799,1.456784438737619,94.26508103417504,LEO,-37.56720500435596,123.45022131442225,492.897695616658,-2998.9208089960907,4539.43911456734,-4184.860580998845
STARLINK-33975,1 63802U 25091AC  26097.44610029  .00023837  00000+0  87239-3 0  9990,2 63802  42.9956 249.8163 0000295 277.0848  82.9969 15.27601051 53415,63802,0.750414783870474,2.95e-05,0.0666541699921895,4.36011696014991,4.836042067229983,1.4485691739484816,94.2654496772797,LEO,-25.37687953282905,-142.96463631963783,492.30825194687804,-4950.0792233060365,-3734.9446335354983,-2941.4119787374902
STARLINK-33951,1 63803U 25091AD  26097.45124377  .00034620  00000+0  12614-2 0  9994,2 63803  43.0004 249.8524 0000926 266.1923  93.8823 15.27588356 53352,63803,0.7504985596745697,9.26e-05,0.0666536160683182,4.36074702400988,4.645932078456502,1.6385552443450724,94.26623306887788,LEO,-38.957074991761026,-172.48228831104444,492.7142291083237,-5291.465058523696,-698.2987460782339,-4315.477889470928
STARLINK-33909,1 63804U 25092A   26097.15819176  .00043179  00000+0  15684-2 0  9990,2 63804  43.0048  12.2003 0001526 279.7876  80.2803 15.27601598 52967,63804,0.7505753541616574,0.0001526,0.066654193859567,0.2129354047310642,4.883214826252887,1.4011555594888037,94.26541592292844,LEO,40.86075797132674,120.25265154803196,484.50217943536063,-2612.188756199906,4478.717742419479,4485.0270253324825
